symbol,company_name
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
BIOGEN,BIOGEN PHARMACHEM INDUSTRIES LIMITED
BIRLACABLE,Birla Cable Limited
BIRLACORPN,Birla Corporation Limited
BIRLAPREC,Birla Precision Technologies Limited
BIRLANU,BirlaNu Limited
BSOFT,BIRLASOFT LIMITED
BITS,BITS Ltd
BIZOTIC,Bizotic Commercial Limited
BKV,BKV Industries Ltd.
BBOX,Black Box Limited
BLACKROSE,Black Rose Inds. Limited
BLACKBUCK,BLACKBUCK LIMITED
BLBLIMITED,BLB Limited
BLISSGVS,Bliss GVS Pharma Limited
BLOOM,Bloom Dekor Ltd.
BLOIN,Bloom Industries Ltd
BLSE,BLS E-Services Limited
BLS,BLS International Services Limited
BLT,BLT Logistics Limited
BLUECHIPT,Blue Chip Tex Industries Ltd.
BLUECLOUDS,Blue Cloud Softech Solutions Limited
BLUECOAST,Blue Coast Hotels Limited
BLUEDART,Blue Dart Express Limited
BLUEJET,Blue Jet Healthcare Limited
BPAGRI,Blue Pearl Agriventures Limited
BLUESTARCO,Blue Star Limited
BLUESTONE,BlueStone Jewellery and Lifestyle Limited
BLUSPRING,Bluspring Enterprises Limited
BMBMUMG,BMB Music & Magnetics Ltd.
BMW,BMW INDUSTRIES LIMITED
BMWVENTLTD,BMW Ventures Limited
BNAGROCHEM,BN Agrochem Limited
BNRUDY,BNR Udyog Ltd.
BODALCHEM,Bodal Chemicals Limited
BTML,Bodhi Tree Multimedia Limited
BODHTREE,Bodhtree Consulting Limited
BOHRAIND,Bohra Industries Limited
BOMBCYC,Bombay Cycle & Motor Agency Ltd.
BOMDYEING,Bombay Dyeing & Mfg Company Limited
BOMOXY-B1,BOMBAY OXYGEN INVESTMENTS LIMITED
BSHSL,Bombay Super Hybrid Seeds Limited
BOMTALKIES,BOMBAY TALKIES LIMITED
BOMBWIR,Bombay Wire Ropes Ltd.
BONDADA,Bondada Engineering Limited
BONLON,Bonlon Industries Limited
BORANA,Borana Weaves Limited
BOROLTD,Borosil Limited
BORORENEW,BOROSIL RENEWABLES LIMITED
BOROSCI,Borosil Scientific Limited
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED
BOSCHLTD,Bosch Limited
BOSTON,BOSTON COMMERCE LIMITED
BMAL,Bothra Metals & Alloys Limited
BPL,BPL Limited
BRADYM,Brady & Morris Engineering Co. Ltd.
BRAHMINFRA,BRAHMAPUTRA INFRASTRUCTURE LIMITED
FIRSTCRY,Brainbees Solutions Limited
BCONCEPTS,Brand Concepts Limited
BRAWN,Brawn Biotech Limited
BRIDGESE,Bridge Securities Ltd.
BRIGADE,Brigade Enterprises Limited
BRIGHOTEL,Brigade Hotel Ventures Limited
BRIGHTBR,Bright Brothers Ltd.
BRIGHT,Bright Outdoor Media Limited
BCG,Brightcom Group Limited
BRIJLEAS,Brijlaxmi Leasing & Finance ltd.
BRIPORT,Brilliant Portfolios Ltd.
BRISK,Brisk Technovision Limited
BRITANNIA,Britannia Industries Limited
BROACH,BROACH LIFECARE HOSPITAL LIMITED
BROOKS,Brooks Laboratories Limited
BSE,BSE Limited
BSELALGO,BSEL ALGO LIMITED
BSL,BSL Limited
BUTTERFLY,Butterfly Gandhimathi Appliances Limited
MAPMYINDIA,C.E. Info Systems Limited
CJGEL,C.J. Gelatine Products Ltd.
CALCOM,Calcom Vision Ltd.
CALSOFT,California Software Company Limited
CALLISTA,Callista Industries Limited
CTE,Cambridge Technology Enterprises Limited
CAMEXLTD,Camex  Ltd.
CAMLINFINE,Camlin Fine Sciences Limited
CAMPUS,Campus Activewear Limited
CANFINHOME,Can Fin Homes Limited
CANBK,Canara Bank
CANHLIFE,Canara HSBC Life Insurance Company Limited
CRAMC,Canara Robeco Asset Management Company Limited
CANDOUR,CANDOUR TECHTEX LIMITED
CANTABIL,Cantabil Retail India Limited
CAPACITE,Capacit'e Infraprojects Limited
CAPILLARY,Capillary Technologies India Limited
CIFL,Capital India Finance Limited
CAPITALSFB,Capital Small Finance Bank Limited
CTL,Capital Trade Links Limited
CAPTRUST,Capital Trust Limited
CNINFOTECH,CAPITALNUMBERS INFOTECH  LIMITED
CAPLIPOINT,Caplin Point Laboratories Limited
CGCL,Capri Global Capital Limited
CAPRIHANS,Caprihans India Ltd.
CAPRO,Caprolactam Chemicals ltd.
CAPPIPES,Captain Pipes Limited
CPL,CAPTAIN POLYPLAST LIMITED
CTCL,Captain Technocast Limited
CARBORUNIV,Carborundum Universal Limited
CARERATING,CARE Ratings Limited
CPEDU,Career Point Edutech Limited
CARGOSOL,Cargosol Logistics Limited
CARGOTRANS,Cargotrans Maritime Limited
CARRARO,Carraro India Limited
CARTRADE,Cartrade Tech Limited
CARYSIL,CARYSIL LIMITED
CASPIAN,CASPIAN CORPORATE SERVICES LIMITED
CASTROLIND,Castrol India Limited
CATVISION,Catvision Limited
CCLINTER,CCL International Ltd
CCL,CCL Products (India) Limited
CCME,CCME GLOBAL LIMITED
CDG,CDG PETCHEM LIMITED
CEATLTD,CEAT Limited
CEEJAY,Ceejay Finance Limited
CEENIK,Ceenik Exports (india) Ltd.
CEETAIN,Ceeta Industries Ltd.
CEIGALL,Ceigall India Limited
CEINSYS,Ceinsys Tech Limited
CELEBRITY,Celebrity Fashions Limited
CELLA,CELLA SPACE LIMITED
CELLO,Cello World Limited
CEMAINFRA,CEMANTIC INFRA-TECH LIMITED
CEMPRO,Cemindia Projects Limited
CENLUB,Cenlub Industries Ltd.
CSURGSU,Centenial Surgical Suture Ltd.
CENTRALBK,Central Bank of India
CDSL,Central Depository Services (India) Limited
CMPDI,Central Mine Planning & Design Institute Limited
CENTRUM,Centrum Capital Limited
CENTUM,Centum Electronics Limited
CENTUPLE,CENTUPLE GLOBAL LIMITED
CENTENKA,Century Enka Limited
CENTEXT,Century Extrusions Limited
CENTURYPLY,Century Plyboards (India) Limited
CERA,Cera Sanitaryware Limited
CEREBRAINT,Cerebra Integrated Technologies Limited
CESC,CESC Limited
CFF,CFF FLUID CONTROL LIMITED
CGPOWER,CG Power and Industrial Solutions Limited
CGVAK,Cg-Vak Software & Exports Ltd.
CHADPAP,Chadha Papers Ltd.
CHALET,Chalet Hotels Limited
CHALLANI,CHALLANI CAPITAL LIMITED
CLSEL,Chaman Lal Setia Exports Limited
CHMBBRW,Chambal Breweries & Distilleries Li
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
CHANDNIMACH,Chandni Machines Limited
CBPL,Chandra Bhagat Pharma Limited
CHANDRAP,Chandra Prabhu International Ltd.
CHANDRIMA,Chandrima Mercantiles limited
CHRTEDCA,Chartered Capital & Investment Ltd.
CHLOGIST,Chartered Logistics Ltd
CHATHA,CHATHA FOODS LIMITED
CHTR,Chatterbox Technologies Limited
CHDCHEM,CHD Chemicals Limited
CHEMBONDCH,Chembond Chemicals Limited
CHEMBOND,Chembond Material Technologies Limited
CHEMCON,Chemcon Speciality Chemicals Limited
CHEMCRUX,Chemcrux Enterprises Limited
CHEMFAB,Chemfab Alkalis Limited
CHEMIESYNT,Chemiesynth (Vapi) Limited
CHEMKART,Chemkart India Limited
CHEMPLASTS,Chemplast Sanmar Limited
CHEMTECH,CHEMTECH INDUSTRIAL VALVES LIMITED
CHENFERRO,CHENNAI FERROUS INDUSTRIES LIMITED
CMMHOSP,Chennai Meenakshi Multispeciality Hospital Ltd.
CHENNPETRO,Chennai Petroleum Corporation Limited
CHEVIOT,Cheviot Company Limited
CHIRAHARIT,Chiraharit Limited
CHLLTD,CHL Limited
CHOICEIN,Choice International Limited
CHOKSI,CHOKSI ASIA LIMITED
CHOKSILA,Choksi Laboratories Ltd.
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
CHORDIA,Chordia Food Products Ltd
CHOTHANI,CHOTHANI FOODS LIMITED
CHOWGULSTM,Chowgule Steamships Ltd.
CHROME,Chrome Silicon Limited
CIANAGRO,CIAN Agro Industries & Infrastructure Limited
CHCL,Cian Healthcare Limited
CIEINDIA,CIE Automotive India Limited
CILSEC,Cil Securities Ltd.
CINDRELL,Cindrella Financial Services Ltd.
CINDHO,Cindrella Hotels Ltd.
CINELINE,Cineline India Limited
CINEVISTA,Cinevista Limited
CIPLA,Cipla Limited
CITADEL,Citadel Realty And Developers Limited
CITICHEM,Citichem India Limited
CITIPOR,Citiport Financial Services Ltd.
CCAL,CITY CROPS AGRO LIMITED
CITYONLINE,City Online Services Limited
CPML,CITY PULSE MULTIVENTURES LIMITED
CUB,City Union Bank Limited
CITYMAN,Cityman Limited
CLEDUCATE,CL Educate Limited
CLARA,CLARA INDUSTRIES LIMITED
CLASELE,Classic Electricals Ltd.
CLFL,Classic Leasing & Finance Ltd.
CLEANMAX,Clean Max Enviro Energy Solutions Limited
CLEAN,Clean Science and Technology Limited
CTLLAB,Clinitech Laboratory Limited
CLIOINFO,Clio Infotech Ltd.
CLN,CLN ENERGY LIMITED
CMRGREEN,CMR Green Technologies Limited
CMSINFO,CMS Info Systems Limited
CMXLTD,CMX HOLDINGS LIMITED
COALINDIA,Coal India Limited
COASTCORP,Coastal Corporation Limited
COARO,Coastal Roadways Ltd.
COCHMAL,Cochin Malabar Estates & Indus. Ltd
COCHINM,Cochin Minerals & Rutile Ltd.
COCHINSHIP,Cochin Shipyard Limited
COFFEEDAY,Coffee Day Enterprises Limited
COFORGE,Coforge Limited
COHANCE,Cohance Lifesciences Limited
COLPAL,Colgate Palmolive (India) Limited
COLINZ,Colinz Laboratories ltd.
COLORCHIPS,COLORCHIPS NEW MEDIA LIMITED
COMCL,Comfort Commotrade Limited
COMFINCAP,COMFORT FINCAP LIMITED
COMFINTE,Comfort Intech Limited
COMMAND,Command Polymers Limited
COMSYN,Commercial Syn Bags Limited
COMPEAU,Competent Automobiles Co. Ltd.
COMPINFO,Compuage Infocom Limited
COMPUSOFT,Compucom Software Limited
CAMS,Computer Age Management Services Limited
COMPUPN,Computer Point Ltd.
COMRADE,Comrade Appliances Limited
CONART,Conart Engineers Ltd.
CONCORDBIO,Concord Biotech Limited
CNCRD,Concord Control Systems Limited
CONCORD,Concord Drugs Limited
CEWATER,Concord Enviro Systems Limited
CFEL,CONFIDENCE FUTURISTIC ENERGETECH LIMITED
CONFIPET,Confidence Petroleum India Limited
CCDL,Consecutive Commodities Limited
CCCL,Consolidated Construction Consortium Limited
CONSOFINVT,Consolidated Finvest & Holdings Limited
CONSTRONIC,CONSTRONICS INFRA LIMITED
CONTAINE,CONTAINE TECHNOLOGIES LIMITED
CONCOR,Container Corporation of India Limited
CONTAINER,Containerway International Limited
CONTILI,Contil India Limited
CONTCHM,Continental Chemicals Ltd.
CONTICON,Continental Controls Ltd.
CONTPTR,Continental Petroleums Ltd.
CSL,Continental Securities Limited
CONTROLPR,Control Print Limited
CORALFINAC,Coral India Finance & Housing Limited
CORALAB,Coral Laboratories Ltd.
CORNE,Coral Newsprints Ltd.
CORDSCABLE,Cords Cable Industries Limited
CORAGRO,Coromandel Agro Products & Oils Ltd
COROENGG,Coromandel Engineering Company Limited
COROMANDEL,Coromandel International Limited
CORONA,CORONA Remedies Limited
CMBL,Corporate Merchant Bankers Limited
COSCO,Cosco (India) ltd.
COSMICCRF,Cosmic CRF Limited
COSMOFE,Cosmo Ferrites Ltd.
COSMOFIRST,COSMO FIRST LIMITED
COSPOWER,Cospower Engineering Limited
COSYN,COSYN Limited
CCHHL,Country Club Hospitality & Holidays Limited
COUNCODOS,Country Condo's Limited
COVANCE,COVANCE SOFTSOL LIMITED
CPCAP,CP Capital Limited
CRAFTROOT,CRAFTROOT RETAIL LIMITED
CRAFTSMAN,Craftsman Automation Limited
CRANEINFRA,Crane Infrastructure Limited
CRANESSOFT,Cranes Software International Ltd.
CRANEX,Cranex Ltd.
CRAVATEX,Cravatex Ltd.
CREATIVE,Creative Castings Limited
CREATIVEYE,Creative Eye Limited
CNL,Creative Newtech Limited
CGFL,CREDENT GLOBAL FINANCE LIMITED
CREDITACC,CREDITACCESS GRAMEEN LIMITED
MUFTI,Credo Brands Marketing Limited
CRESCENTIS,Crescentis Capital Limited
CRSL,CRESSANDA RAILWAY SOLUTIONS LIMITED
CREST,Crest Ventures Limited
CRSTCHM,Crestchem Ltd.
CRIMSON,Crimson Metal Engineering Company Ltd
CRISIL,Crisil Limited
CRIZAC,Crizac Limited
CROISSANCE,CROISSANCE LIMITED
CROMPTON,Crompton Greaves Consumer Electricals Limited
CROPSTER,CROPSTER AGRO LIMITED
CROWN,Crown Lifters Limited
CRYOGENIC,CRYOGENIC OGS LIMITED
CRYSTAL,CRYSTAL BUSINESS SYSTEM LIMITED
CSBBANK,CSB Bank Limited
CSLFINANCE,CSL Finance Limited
CUBEXTUB,Cubex Tubings Limited
CUBIFIN,Cubical Financial Services Ltd.
CUMMINSIND,Cummins India Limited
CUPIDALBV,CUPID BREWERIES AND DISTILLERIES LIMITED
CUPID,Cupid Limited
CURAA,Cura Technologies Limited
CWD,CWD Limited
CYBELEIND,Cybele  Industries Limited
CYBERMEDIA,Cyber Media (India) Limited
CYBERTECH,Cybertech Systems And Software Limited
CYIENTDLM,Cyient DLM Limited
CYIENT,Cyient Limited
DHINDIA,D & H India Limited
DPWIRES,D P Wires Limited
DLINKINDIA,D-Link (India) Limited
DPABHUSHAN,D. P. Abhushan Limited
DBCORP,D.B.Corp Limited
DABUR,Dabur India Limited
DACHEPALLI,Dachepalli Publishers Limited
DAICHI,Dai-Ichi Karkaria Limited
DAIKAFFI,Daikaffil Chemicals India Ltd.
DSINVEST,Dalal Street Investments Ltd.
DALBHARAT,Dalmia Bharat Limited
DALMIASUG,Dalmia Bharat Sugar and Industries Limited
DIDL,DALMIA INDUSTRIAL DEVELOPMENT LIMITED
DAMCAPITAL,Dam Capital Advisors Limited
DAMODARIND,Damodar Industries Limited
DANGEE,Dangee Dums Limited
DANLAW,Danlaw Technologies India Ltd.
DANUBE,DANUBE INDUSTRIES LIMITED
DAPS,DAPS ADVERTISING LIMITED
DARJEELING,DARJEELING INDUSTRIIES LIMITED
DARSHANORNA,Darshan Orna Limited
DATAPATTNS,Data Patterns (India) Limited
DATAMATICS,Datamatics Global Services Limited
DATIWARE,DATIWARE MARITIME INFRA LIMITED
DAULAT,Daulat Securities Ltd.
DAVANGERE,Davangere Sugar Company Limited
DAVIN,Davin Sons Retail Limited
DBSTOCKBRO,DB (International) Stock Brokers Limited
DCI,Dc Infotech And Communication Limited
DCBBANK,DCB Bank Limited
DCM,DCM  Limited
DCMFINSERV,DCM Financial Services Limited
DCMNVL,DCM Nouvelle Limited
DSFCL,DCM Shriram Fine Chemicals Limited
DCMSRIND,DCM Shriram Industries Limited
DCMSIL,DCM Shriram International Limited
DCMSHRIRAM,DCM Shriram Limited
DCW,DCW Limited
DCXINDIA,DCX Systems Limited
DDEVPLSTIK,Ddev Plastiks Industries Limited
DENORA,De Nora India Limited
DECCANCE,Deccan Cements Limited
DECNGOLD,Deccan Gold Mines Limited
DECCAN,Deccan Health Care Limited
DECPO,Deccan Polypacks Ltd
DFL,Decillion Finance Ltd.
DECIPHER,DECIPHER LABS LIMITED
DECOMIC,Deco-Mica Ltd.
DITCO,Decorous Investment and Trading Co. Ltd.
DEEDEV,DEE Development Engineers Limited
DEEPAI,Deep Health AI India Limited
DEEPINDS,Deep Industries Limited
DEEP,Deep Polymers Limited
DBEIL,Deepak Builders & Engineers India Limited
DEEPAKCHEM,DEEPAK CHEMTEX LIMITED
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR,Deepak Nitrite Limited
DEEPAKSP,Deepak Spinners Ltd.
DEFRAIL,Defrail Technologies Limited
DELHIVERY,Delhivery Limited
DELPHIFX,DELPHI WORLD MONEY LIMITED
DELTACORP,Delta Corp Limited
DELTA,Delta Industrial Resources Limited
DELTAMAGNT,Delta Manufacturing Limited
DLTNCBL,Delton Cables Ltd.
DEN,Den Networks Limited
DENISCHEM,Denis Chem Lab Limited
DENTA,Denta Water and Infra Solutions Limited
DESCO,Desco Infratech Limited
DESHRAK,Desh Rakshak Aushdhalaya Ltd.
DESIFARMS,Desi Farms India Limited
DEVX,Dev Accelerator Limited
DEVIT,Dev Information Technology Limited
DEVLAB,Dev Labtech Venture Limited
DEVINE,Devine Impex Limited
DEVITRD,Devinsu Trading Ltd.
DEVYANI,Devyani International Limited
DHABRIYA,Dhabriya Polywood Limited
DBOL,Dhampur Bio Organics Limited
DHAMPURSUG,Dhampur Sugar Mills Limited
DHAMPURE,Dhampure Speciality Sugars Ltd.
DHANROTO,Dhanalaxmi Roto Spinners Ltd.
DEL,Dhanashree Electronics Limited
DHANBANK,Dhanlaxmi Bank Limited
DHAN-RE,Dhanlaxmi Bank Limited
DHANCOT,Dhanlaxmi Cotex Ltd.
DHANFAB,Dhanlaxmi Fabrics Ltd.
DHANSAFAL,DHANSAFAL FINSERVE LIMITED
DHANUKA,Dhanuka Agritech Limited
ZDHJERK,Dhanvantri Jeevan Rekha Ltd.
DHARAN,DHARAN INFRA-EPC LIMITED
DHARFIN,Dharani Finance Ltd.
DHARMAJ,Dharmaj Crop Guard Limited
DHARNI,DHARNI CAPITAL SERVICES LIMITED
DHATRE,Dhatre Udyog Limited
DHENUBUILD,Dhenu Buildcon Infra Limited
DHILLON,Dhillon Freight Carrier Limited
DHOOTIN,Dhoot Industrial Finance Ltd.
DHPIND,DHP India Ltd.
DHRUV,Dhruv Consultancy Services Limited
DHRUVCA,Dhruva Capital Services Ltd.
DHUNINV,Dhunseri Investments Limited
DTIL,Dhunseri Tea & Industries Limited
DVL,Dhunseri Ventures Limited
DHYAANITR,DHYAANI TRADEVENTTURES LIMITED
DIAMINESQ,Diamines & Chemicals Limited
DIACABS,Diamond Power Infrastructure Limited
DIANATEA,Diana Tea Co.Ltd.
DICIND,DIC India Limited
DIFFNKG,Diffusion Engineers Limited
DML,Diggi Multitrade Limited
DGCONTENT,Digicontent Limited
DIGIDRIVE,Digidrive Distributors Limited
DIGILOGIC,DIGILOGIC SYSTEMS LIMITED
DIGISPICE,DiGiSPICE Technologies Limited
DIGITIDE,Digitide Solutions Limited
DIGJAMLMTD,Digjam Limited
DIKSAT,Diksat Transworld Limited
DGL,Diksha Greens Limited
DILIGENT,Diligent Industries Limited
DNAMEDIA,Diligent Media Corporation Limited
DBL,Dilip Buildcon Limited
DFPL,DINDIGUL FARM PRODUCT LIMITED
DPL,DIPNA PHARMACHEM LIMITED
DISAQ,Disa India Limited
DISHTV,Dish TV India Limited
DRL,DISHA RESOURCES LIMITED
DCAL,Dishman Carbogen Amcis Limited
DIVGIITTS,Divgi Torqtransfer Systems Limited
DIVISLAB,Divi's Laboratories Limited
DIVSHKT,DIVYASHAKTI LIMITED
DIXON,Dixon Technologies (India) Limited
DJML,DJ Mediaprint & Logistics Limited
DJSSS,DJS Stock & Shares Ltd.
DLF,DLF Limited
DMCC,DMCC SPECIALITY CHEMICALS LIMITED
DMR,DMR ENGINEERING LIMITED
DODLA,Dodla Dairy Limited
DOLATALGO,Dolat Algotech Limited
DOLFIN,Dolfin Rubbers Limited
DOLLAR,Dollar Industries Limited
DKUAL,Dolphin Kitchen Utencils and Appliances Limited
DOLPHIN,Dolphin Offshore Enterprises (India) Limited
DOMS,DOMS Industries Limited
DONEAR,Donear Industries Limited
DPSCLTD,DPSC Limited
DRAGARWQ,Dr Agarwals Eye Hospital Limited
DLCL,DR LALCHANDANI LABS LIMITED
AGARWALEYE,Dr. Agarwal's Health Care Limited
LALPATHLAB,Dr. Lal Path Labs Ltd.
DRREDDY,Dr. Reddy's Laboratories Limited
DRA,DRA CONSULTANTS LIMITED
DRCSYSTEMS,DRC Systems India Limited
DREAMFOLKS,Dreamfolks Services Limited
DREDGECORP,Dredging Corporation of India Limited
DRONACHRYA,Droneacharya Aerial Innovations Limited
KEEPLEARN,DSJ Keep Learning Limited
ZAPPFRESH,DSM Fresh Foods Limited
EQUAL50ADD,DSP Mutual Fund
MIDQ50ADD,DSP Mutual Fund
NIFTYADD,DSP Mutual Fund
BANKADD,DSP Mutual Fund
ITADD,DSP Mutual Fund
SENSEXADD,DSP Mutual Fund
PSUBANKADD,DSP Mutual Fund
PVTBANKADD,DSP Mutual Fund
HEALTHADD,DSP Mutual Fund
TOP10ADD,DSP Mutual Fund
NEXT30ADD,DSP Mutual Fund
FLEXIADD,DSP Mutual Fund
MSCIADD,DSP Mutual Fund
SMALLADD,DSP Mutual Fund
MIDCAPADD,DSP Mutual Fund
NEXT50ADD,DSP Mutual Fund
BANK10ADD,DSP Mutual Fund
FMCGADD,DSP Mutual Fund
DUCON,Ducon Infratechnologies Limited
DUKEOFS,Duke Offshore Ltd.
DUNCANENG,Duncan Engineering Limited
DUROPACK,Duropack Ltd
DUROPLY,DUROPLY INDUSTRIES LIMITED
DUTRON,Dutron  Polymers Ltd.
DWARKESH,Dwarikesh Sugar Industries Limited
DSSL,Dynacons Systems & Solutions Limited
DYNAMATECH,Dynamatic Technologies Limited
DAL,dynamic Archistructures Limited
DYCL,Dynamic Cables Limited
DYNAMIND,Dynamic Industries Ltd.
DYNAMICP,Dynamic Protfolio Management & Serv
DYNAVSN,Dynavision Limited
DYNPRO,Dynemic Products Limited
EENTER,E and E ENTERPRISES LIMITED
ELAND,E-Land Apparel Limited
E2E,E2E Networks Limited
EARKART,EARKART LIMITED
EARTH,Earthstahl & Alloys Limited
EASTBUILD,East Buildtech Limited
ECSTSTL,East Coast Steel Ltd
EASTINDIA,East India Drums and Barrels Manufacturing Limited
EASTWEST,EAST WEST FREIGHT CARRIERS LTD
EASTSILK,Eastern Silk Industries Limited
EASTRED,Eastern Treads Ltd.
EASUN,Easun Capital Markets Limited
EASYFIN,EASY FINCORP LIMITED
EASEMYTRIP,Easy Trip Planners Limited
ECLERX,eClerx Services Limited
ECOHOTELS,ECO HOTELS AND RESORTS LIMITED
ECORECO,Eco Recycling Limited
ECOBOAR,Ecoboard Industries Ltd
ETIL,Econo Trade (India) Limited
ECOPLAST,Ecoplast Ltd.
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited
ECS,ECS Biztech Limited
EDELWEISS,Edelweiss Financial Services Limited
ECAPINSURE,Edelweiss Mutual Fund
ESENSEX,Edelweiss Mutual Fund
ENEXT50,Edelweiss Mutual Fund
EDVENSWA,Edvenswa Enterprises Limited
EFCIL,EFC (I) Limited
EFORU,EFORU ENTERTAINMENT LIMITED
EICHERMOT,Eicher Motors Limited
EIDPARRY,EID Parry India Limited
EIGHTY,Eighty Jewellers Limited
EIHAHOTELS,EIH Associated Hotels Limited
EIHOTEL,EIH Limited
EIKO,EIKO LIFESCIENCES LIMITED
EIMCOELECO,Eimco Elecon (India) Limited
EKAMLEA,Ekam Leasing & Finance Co. Ltd.
EKANSH,Ekansh Concepts Limited
EKENNIS,Ekennis Software Service Limited
EKI,EKI Energy Services Limited
ELCIDIN,EL CID Investments Limited
ELFORGE,El Forge Ltd.
ELANGO,Elango Industries Ltd
ELANTAS,Elantas Beck India Limited
ELDEHSG,Eldeco Housing And Industries Limited
ELECON,Elecon Engineering Company Limited
EMIL,Electronics Mart India Limited
ELECTCAST,Electrosteel Castings Limited
ELECTHERM,Electrotherm (India) Limited
ELEFLOR,Elegant Floriculture & Agrotech (In
ELEMARB,Elegant Marbles & Grani Industries
ELFIN,Elfin Agro India Limited
ELGIEQUIP,Elgi Equipments Limited
ELGIRUBCO,Elgi Rubber Company Limited
ELIN,Elin Electronics Limited
ELITECON,Elitecon International Limited
ELIXIR,Elixir Capital Limited
ELLEN,Ellenbarrie Industrial Gases Limited
ELNET,Elnet Technologies Ltd.
ELPROINTL,Elpro International Limited
EMAINDIA,Ema India Ltd.
EMAMILTD,Emami Limited
EMAMIPAP,Emami Paper Mills Limited
EMAMIREAL,Emami Realty Limited
EMBDL,Embassy Developments Limited
EMCURE,Emcure Pharmaceuticals Limited
EMERALD,Emerald Finance Limited
EMERALL,Emerald Leisures Limited
EMERGENT,EMERGENT INDUSTRIAL SOLUTIONS LIMITED
EMIAC,EMIAC TECHNOLOGIES LIMITED
EMKAY,Emkay Global Financial Services Limited
EMMBI,Emmbi Industries Limited
EMMESSA,Emmessar Biotech & Nutrition Ltd.
EMMFORCE,EMMFORCE AUTOTECH LIMITED
EMMVEE,Emmvee Photovoltaic Power Limited
EMPIND,Empire Industries Ltd.
EMPOWER,Empower India Limited
EMROCK,EMROCK CORPORATION LIMITED
EMSLIMITED,EMS Limited
EMUDHRA,eMudhra Limited
ENBETRD,Enbee Trade & Finance Ltd.
ENCODE,ENCODE PACKAGING INDIA LIMITED
ENDURANCE,Endurance Technologies Limited
ENERGYDEV,Energy Development Company Limited
ENGINERSIN,Engineers India Limited
ENKEIWHEL,Enkei wheels (India) Limited
ENTERO,Entero Healthcare Solutions Limited
ENTRINT,Enterprise International Limited
ENIL,Entertainment Network (India) Limited
ENVAIREL,Envair Electrodyne Ltd.
EIEL,Enviro Infra Engineers Limited
EPBIO,EP BIOCOMPOSITES LIMITED
EPACK,EPACK Durable Limited
EPACKPEB,EPack Prefab Technologies Limited
EPIC,EPIC Energy Ltd.
EPIGRAL,Epigral Limited
EPL,EPL Limited
EPSOMPRO,Epsom Properties Limited
EPUJA,EPUJA SPIRITECH LIMITED
EQUILATERA,EQUILATERAL ENTERPRISES LIMITED
EQUIPPP,Equippp Social Impact Technologies Limited
EQUITASBNK,Equitas Small Finance Bank Limited
EBIX,ERAAYA LIFESPACES LIMITED
ERIS,Eris Lifesciences Limited
ERPSOFT,ERP Soft Systems Ltd.
ESARIND,Esaar (India) Ltd.
ESABINDIA,Esab India Limited
ESAFSFB,ESAF Small Finance Bank Limited
ESCORP,Escorp Asset Management Limited
ESCORTS,Escorts Kubota Limited
ESHAMEDIA,Esha Media Research Limited
ESPIRE,ESPIRE HOSPITALITY LIMITED
ESQRMON,Esquire Money Guarantees Ltd
ESSARSHPNG,Essar Shipping Limited
ESSEX,ESSEX MARINE LIMITED
ESTER,Ester Industries Limited
ETERNAL,ETERNAL LIMITED
ETHOSLTD,Ethos Limited
EUPHORIAIT,Euphoria Infotech (India) Limited
EUREKAFORB,Eureka Forbes Limited
EUREKAI,Eureka Industries Ltd.
EIFFL,Euro India Fresh Foods Limited
EUROLED,Euro Leder Fashion Ltd.
EUROBOND,Euro Panel Products Limited
EUROPRATIK,Euro Pratik Sales Limited
EUROTEXIND,Eurotex Industries and Exports Limited
EVANS,EVANS ELECTRIC LIMITED
EVEREADY,Eveready Industries India Limited
EVERESTIND,Everest Industries Limited
EKC,Everest Kanto Cylinder Limited
EVERESTO,Everest Organics Ltd.
EVERFIN,EVERLON FINANCIALS LIMITED
EVEXIA,EVEXIA LIFECARE LIMITED
EVOQ,Evoq Remedies Limited
EXATO,EXATO TECHNOLOGIES LIMITED
EXCELINDUS,Excel Industries Limited
EXCELSOFT,Excelsoft Technologies Limited
EXHICON,Exhicon Events Media Solutions Limited
EXICOM,Exicom Tele-Systems Limited
EXIDEIND,Exide Industries Limited
EXPLEOSOL,Expleo Solutions Limited
EXPLICITFIN,Explicit Finance Limited
EXPOEAPL,EXPO ENGINEERING AND PROJECTS LIMITED
EXXARO,Exxaro Tiles Limited
EY,EYANTRA VENTURES LIMITED
FMEC,F MEC INTERNATIONAL FINANCIAL SERVICES LIMITED
FAALCON,Faalcon Concepts Limited
FABINO,FABINO ENTERPRISES LIMITED
FABCLEAN,FABTECH TECHNOLOGIES CLEANROOMS LIMITED
FABTECH,Fabtech Technologies Limited
FACORALL,FACOR Alloys Limited
FAIRCHEMOR,Fairchem Organics Limited
FAMILYCARE,FAMILY CARE HOSPITALS LIMITED
FAZE3Q,Faze Three Limited
FCSSOFT,FCS Software Solutions Limited
